Title,Excerpt,Category
FCMB Founder Subomi Balogun Gifts UI $13m Pediatrics Hospital,"The founder of FCMB Group, Chief Olasubomi Balogun, has donated his Otunba Tunwase National Pediatrics Centre (OTNPC) in Ijebu Ode",business
Neymar Would Rather Brazil Play Argentina in Copa America Final,Brazil forward Neymar says he hopes Argentina will be their opponents in the Copa America final and has no doubts,sports
"Morata Goal Sends Spain to World Cup, Consigns Sweden to Play-offs",Alvaro Morata's late goal helped Spain qualify for the 2022 World Cup and consigned Sweden to the play-offs. Sweden goalkeeper,sports
Oil Rises to Near One-Year Highs After US Stock Drawdown,"Oil prices rose almost 2% on and hovered near their highest levels in about a year, after government data showed",business
"Nigeria: Oil Marketers Raise the Alarm, Accuse Airline Operators of Trying to Force Subsidy on Aviation Fuel",Some petroleum products marketers in Nigeria have warned that the pressure being mounted by local airline operators on the federal,business
Fulham Relegated From Premier League Following Burnley Loss,"Fulham were relegated from the Premier League on Monday after losing 2-0 at home to fellow strugglers Burnley, who secured",sports
"CBN’s Covid Interventions Account for 3.5% of Nigeria’s GDP, Emefiele Says","The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, has disclosed that the apex bank’s interventions to",business
"Nigerian Magnate Otedola Acquires Additional Stake in First Bank Holdings, Consolidates Largest Shareholder Status","Nigeria’s billionaire magnate and chair of Geregu Power Plc Femi Otedola has acquired a further interest in FBN Holdings Plc,",business
"Over 600 Journalists have Died of COVID-19 Worldwide, New Report Shows","Over 600 journalists have died worldwide due to the Covid-19 pandemic, a new report by the Press Emblem Campaign (PEC)",health
"Napoli Handed 0-3 Loss, Have Point Deducted for Juve ‘No Show’",Victor Osimhen and his Napoli teammates have suffered the consequence of refusing to go to Turin to play Juventus in,sports
"FA Cup Final, World Snooker Championship Among UK’s Pilot Events For Fan Return",The FA Cup final and the World Snooker Championship are to be used as pilot events as part of the,sports
Scientists Question Evidence Behind US Covid Booster Shot Drive,The Biden administration’s plan to provide Covid-19 vaccine boosters is based on concerns that a decrease in the vaccines’ ability,health
Oil Price Uptick Boosts Nigeria’s External Reserves’ Accretion by $404m,"Nigeria’s external reserves have maintained a positive momentum in the past two weeks, rising by $404 million to $34.820 billion",business
Nigerian Sprinter Blessing Okagbare Banned 10 Years for Doping,"Nigeria’s 2008 long jump silver medalist Blessing Okagbare has been banned for 10 years for doping, the Athletics Integrity Unit",sports
"Pfizer Says Covid-19 Vaccine Safe, Effective On Adolescents in Trial","Pfizer and BioNTech have announced that their Covid-19 vaccine is safe and effective in 12- to 15-year olds, paving the",health
New Virus Variant Detected in India; Experts Urge Caution,"A new and potentially troublesome variant of the coronavirus has been detected in India, as have variants first detected in",health
"TotalEnergies Moves to Connect New 50,000 Barrels Per Day Oilfield to Deepwater Storage","Multinational oil and gas company, TotalEnergies, has said its effort to increase oil production in Nigeria would materialise this year,",business
"Buhari to Attend African Finance Summit in France, to Meet President Macron",Nigeria President Muhammadu Buhari is set to meet France President Emmanuel Macron when he departs for the European nation on,business
Egypt’s Al Ahly Beat Kaizer Chiefs 3-0 to Win Record Tenth African Crown,Egyptian heavyweights Al Ahly beat Kaizer Chiefs 3-0 in Morocco on Saturday night to become the first side in history,sports
Mexican President López Obrador Tests Positive for Covid-19,"Mexican President Andrés Manuel López Obrador has tested positive for COVID-19, a development that comes as his country registers the",health
Report: Nigeria Is Africa’s Third Most Attractive Destination for Foreign Investment,The Absa Africa Financial Markets Index 2021 (AAFMI) has ranked Nigeria as the third most attractive country in Africa for,business
Copa America: Neymar Inspires Brazil to 4-0 Win over Peru,Neymar moved to within nine goals of Pele's all-time scoring record as Brazil eased past Peru to earn a second,sports
US Backs WTO’s Push for Covid Vaccine Patent Waivers,The US has thrown its support behind an initiative at the World Trade Organization (WTO) to waive intellectual property protections,health
"Concerns Mount as British Airways, Emirates Cancel Flights to US over 5G",International airlines are beginning to cancel scheduled flights to most cities in the Unites States over fear of 5G network,business
"Europa League: Chukwueze Seals Top Spot for Villarreal, Ndidi Back from Injury",Samuel Chukwueze grabbed maximum points for Villarreal on Thursday against Turkish club Sivasspor to lead the Yellow Submarines on 13,sports
Super Eagles Manager Rohr Confident of Qatar 2022,"Before Gernot Rohr was appointed head coach of Nigeria, the team were at a low ebb, having failed to qualify",sports
WHO: Countries Need to Resist ‘Vaccine Nationalism’,"The World Health Organisation (WHO) on Wednesday called on countries to resist ""vaccine nationalism"", as the international community continues to",health
"‘Black Market’ Can’t Determine Value of Naira, Central Bank Governor Emefiele Insists",Central Bank of Nigeria Governor Godwin Emefiele on Tuesday said the parallel market - otherwise known as the black market,business
Tottenham Confirms Ryan Mason as Interim Head Coach With Julian Nagelsmann Targeted as Mourinho’s Successor,Ryan Mason will lead boyhood club Tottenham out at Wembley on Sunday after being named interim head coach until the,sports
Tokyo Olympics: Japan Holds Gymnastics Test Event with Fans,"Tokyo has hosted its first international sporting event since the coronavirus pandemic, seen as a major trial ahead of next",sports
China Tests Millions after Coronavirus Flare-ups in Three Cities,"Chinese authorities are testing millions of people, imposing lockdowns and shutting down schools after multiple locally transmitted coronavirus cases were",health
Nuli Launches Veggie Victory’s 100% Plant-based Meat Substitute,"Nuli, Nigeria’s leading healthy food restaurant chain and natural juice brand, and Veggie Victory, Nigeria’s first vegan food company, have",health
Aston Villa Shock Liverpool in 7-2 Demolition,Ollie Watkins scored a first-half hat-trick and Jack Grealish had a hand in five goals as Aston Villa deservedly stunned,sports
Senegal Begins Vaccinating Against Coronavirus,Authorities in Senegal have said fighting misinformation and Covid-19 vaccination reluctance will be key in the campaign launched on Tuesday.,health
NNPC’s Operating Revenues Slump By $290m in January,The increasing landing cost of petrol and the inability of the Nigerian National Petroleum Corporation (NNPC)   to increase ex-depot price,business
South Africa’s Jobless Rate Hits Record High in Q4 2020,"South Africa’s unemployment rate jumped to a record high in the fourth quarter of last year, the statistics agency said",business
"Twitter, Other ICT Players Contributed 14.91% to Nigeria’s GDP, Civil Society Group Reminds FG","A leading civil society organization, Centre for Social Justice (CSJ) has reminded the federal government that Twitter and other social",business
AstraZeneca Vaccine Less Effective Against South Africa Variant,"AstraZeneca Plc’s Covid-19 vaccine has shown limited efficacy against mild disease caused by the variant first identified in South Africa,",health
Messi Nets Double as Barcelona Beat Huesca in Record-setting Night,Barcelona moved back to within four points of La Liga leaders Atletico Madrid in a record-setting night for Lionel Messi,health
"Pan-African Settlement Platform Will Reduce FX Usage in Africa, Nigeria’s Central Bank Governor Says","The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele has said the newly launched Pan-African Payment and",business
"Oil Price Continues Bullish Run, Now $83 as OPEC Delays Nigeria’s Request for New Baseline","Oil prices continued to climb on Tuesday, hitting their highest levels in years and extending gains. Apparently, the rally was",business
Tokyo Olympics: Algerian Judoka Withdraws Over Potential Meeting with Israeli,Algerian judoka Fethi Nourine has withdrawn from Tokyo 2020 after the draw set him on course for a potential meeting,sports
"Champions League Final: Havertz, Kante Key in Chelsea Victory against Man City",Every Manchester City fan I spoke to outside the ground in Porto after their defeat in the Champions League final,sports
"Nigerian Broadcast Stations Gasping for Breath, BON Cries Out","The Broadcasting Organisation of Nigeria (BON), a body representing broadcast stations in Nigeria, has cried out over the skyrocketing costs",business
Mexico Surpasses One Million Coronavirus Cases,"Mexico has registered one million total coronavirus cases, with almost 100,000 confirmed deaths. The country has a death rate of",health
China Property Shares Slide as Evergrande Crisis Reverberates,Shares of Chinese real estate firms fell further on Thursday as investors fretted about a debt crisis rippling through developers,business
NNPC Chief Kyari Targets Fortune 500 Top 50 in Three Years,"“Before, you could lose money and nothing will happen, government could always pay, but the law now says we have",business
